signature,type,source,tokenMint,collection,collectionSymbol,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price,image
KrneS9wx9BFHMp4xEVfrKtz1HUQCvKbdTxhnY7Rqoxhm7QY8bH9GCzhQVRjEXbK6BvAM9rKPDR6HnT4oYKLckdo,cancelBid,magiceden_v2,2zNdj5t37d453zi8vDvBcZWrrb3xH8knc8QyTWK8ZFRJ,monkey_kingdom,monkey_kingdom,149135219,1662302235,6kurpCP6g3KYGXYB6LLQ3v4SUPeRBA11RYLjM9BHb7xk,,,,0,https://arweave.net/RXvcXfIAUylko38UpwCUMT-ZntVvhiIHutlojX7jUF8
3HziujqzDkgSfnHJUtvdnor8WnPDdDEkKMkwaSgfdvSrwXSTCL21kG56b1mJ9Ghpwp3i7FY4PUozFN6q7KJMdZGg,list,magiceden_v2,9aAp4jCZEmGHd3UEWCELMTZvAjkJMtr1jdUV465EqjYC,monkey_kingdom,monkey_kingdom,149124603,1662296434,,,J26sDN1qycHLfM8qaGv7Fnw2Rj8dmEzWoBcUjJisXxdF,,20,https://arweave.net/qTAXF0vsseXylMUKxsho2QR6eNPyE6QqnVyvIWAA6uA
agnqGucCZ8sardYFAuoqqAJk2Ef5FcNpc7TpiLvjHkX8JtkwsPqEeoVS4qhoxorhGrRX3xD6x7zStssWyhpqxiE,cancelBid,magiceden_v2,3SvDxF1ra8YhQWLxEKTquQC4H8MAcvxDxZNBsx4P9YTP,monkey_kingdom,monkey_kingdom,149075784,1662270297,7rMfyCiXesvwW2nDTaE6ghwZDHZS2Nr42AMCjTjJ9gY9,,,,0,https://arweave.net/0R6076sxEoxHkCjChUr02mSgyZWRhb2_9fk5gnDpe4k
4BEQRWaHU8CUkSzKZdUyRdpQqDsHtozGCFVxEuuu1Gk8giGM63DSKLeRDuX8ESeTVXui4ECbvw1uG2w7XDUGqP3h,delist,magiceden_v2,5fBq5X3YW5G6v6cgrCY5R4MSPb5S6wG3CqY7cECu2dx5,monkey_kingdom,monkey_kingdom,149027145,1662245713,,,3Wo9pLiWmcc4vU7oGWjk17xphHw1coWXNqahSjAY5CAR,,0,https://arweave.net/Q4BYCcLRg-sBTks6rTXM4Gfz7kFY4AQdgfHEnr6244A
4yHiG1TavvQn9Tx9usmJYLP8W37QwsXH5Nn9JECFGYyiwdaMofcUcyJt87XyUxP3sKy55T3whqv4RhRiQA3hekSF,list,magiceden_v2,3SvDxF1ra8YhQWLxEKTquQC4H8MAcvxDxZNBsx4P9YTP,monkey_kingdom,monkey_kingdom,148982166,1662222674,,,RigC8bJcyYUE69PvDM64Nda7M1jguwQSj1pJF9JNobn,,18.1,https://arweave.net/0R6076sxEoxHkCjChUr02mSgyZWRhb2_9fk5gnDpe4k
3SLU7g7mBGbyrhvD5bM3eW9Se3oBvdhAjPbuGKaan8PkSkV4vyBVkSCDpFnH3fUGxPmGui2Q53GEDZZnKvEtWgsU,list,magiceden_v2,Gp1qXRYD7Q5RVAV6YaYctnizoWtH36AvKxt2rNbJKRbq,monkey_kingdom,monkey_kingdom,148981425,1662222297,,,9H3WVr3bafut5DH4dyh2tJXGVW143ZWCL57ZmHmWneb5,,30,https://arweave.net/wjQK3Zl4BcleqfiJ3Dfr4aLEYx9mug_ZBL_MnTPBWlI
5MajvvSWo6m2De4ybfXX6TmAyxrAVnrJmLYKriDWpCVMh1KukpkUjsrYGUm8i19w55pmXxMzPJL3AgnAQWV8VmWy,delist,opensea,GUdP5Gha6QDcMETWW64sqMenmGK1LEEznur1zfUgkWXX,monkey_kingdom,monkey_kingdom,148923654,1662192993,,,8dq25o7WRRJxNySyivWiQWAEHswvqHXKVovHHKu91nTp,,0,https://arweave.net/dFtJk29LN-T_kSimi1SIPoUFHYCqxyYLq1oEVMnEM0Y
4hnBJPuM3HCBXMMY5sk63PMnjU5Yuz6av6h9Gu5gjHxNsnUWT4Lv4SDa5gJwwqQm1yZjNBARQksuNm5m24B18FoA,list,magiceden_v2,DFQYkEUw74ZmT5RURj5oVhpJ64Y8Qvj3naUB3rofWyJj,monkey_kingdom,monkey_kingdom,148919715,1662190831,,,3yJTaAviFvsp4Wv9F6e5P7PwYXMcviDKsza3bYk72weu,,85,https://arweave.net/HrBtGi5S7TOh_p6exLmV9Piv6Trkd2TlOunqyyib8xs
4aocx68kn5peneScVeuZKzyvndxGGHdwkJUhRCHpNNNHn6Jk2hay1CGGmr686pp2u67V972hwmJkkrv62dWJkhut,buyNow,magiceden_v2,4rRp7CN2hnN4w1Dy3P11h1N8TzMRUY2vDc9ZHKyt2ssK,monkey_kingdom,monkey_kingdom,148915552,1662188859,87UJKP7Y99TABpc8eixVRxyysKAbPLLFYmvZRnUMvnp5,,9Dd55xiTnq3eWpnZLQtUyERFg5Mn7kPNTJBdVoFaiDKA,,20,https://arweave.net/lfsE9AxiZ2zuSPF8L5QRu6M8u7QMeiHictk30wSNkdo
4aocx68kn5peneScVeuZKzyvndxGGHdwkJUhRCHpNNNHn6Jk2hay1CGGmr686pp2u67V972hwmJkkrv62dWJkhut,bid,magiceden_v2,4rRp7CN2hnN4w1Dy3P11h1N8TzMRUY2vDc9ZHKyt2ssK,monkey_kingdom,monkey_kingdom,148915552,1662188859,87UJKP7Y99TABpc8eixVRxyysKAbPLLFYmvZRnUMvnp5,,,,20,https://arweave.net/lfsE9AxiZ2zuSPF8L5QRu6M8u7QMeiHictk30wSNkdo
2MFx4EB4HnkvSqioFzrYJ1kSGXsFkWC5P3LVn1qjcjmZK55iaJxoazwvSLbMbJRRXUrdrwSbwEcwusH5Zc1YHkNF,list,magiceden_v2,5fBq5X3YW5G6v6cgrCY5R4MSPb5S6wG3CqY7cECu2dx5,monkey_kingdom,monkey_kingdom,148893805,1662177713,,,3Wo9pLiWmcc4vU7oGWjk17xphHw1coWXNqahSjAY5CAR,,188,https://arweave.net/Q4BYCcLRg-sBTks6rTXM4Gfz7kFY4AQdgfHEnr6244A
2MFx4EB4HnkvSqioFzrYJ1kSGXsFkWC5P3LVn1qjcjmZK55iaJxoazwvSLbMbJRRXUrdrwSbwEcwusH5Zc1YHkNF,list,magiceden_v2,5fBq5X3YW5G6v6cgrCY5R4MSPb5S6wG3CqY7cECu2dx5,monkey_kingdom,monkey_kingdom,148893805,1662177713,,,3Wo9pLiWmcc4vU7oGWjk17xphHw1coWXNqahSjAY5CAR,,188,https://arweave.net/Q4BYCcLRg-sBTks6rTXM4Gfz7kFY4AQdgfHEnr6244A
yQrrn81MhJReB1ugLpb448LnwQPMEEH84z51UCmLMXTSeVQfttziGbfT2oWshNizfQdiuvHYFNcQCho6VfQrXif,buyNow,magiceden_v2,5fBq5X3YW5G6v6cgrCY5R4MSPb5S6wG3CqY7cECu2dx5,monkey_kingdom,monkey_kingdom,148882184,1662171164,3Wo9pLiWmcc4vU7oGWjk17xphHw1coWXNqahSjAY5CAR,,72C1P1wXHmYLNXf2cFF9T2c5ApWYcEtrhtdPLFMfcqSB,,13.98,https://arweave.net/Q4BYCcLRg-sBTks6rTXM4Gfz7kFY4AQdgfHEnr6244A
yQrrn81MhJReB1ugLpb448LnwQPMEEH84z51UCmLMXTSeVQfttziGbfT2oWshNizfQdiuvHYFNcQCho6VfQrXif,bid,magiceden_v2,5fBq5X3YW5G6v6cgrCY5R4MSPb5S6wG3CqY7cECu2dx5,monkey_kingdom,monkey_kingdom,148882184,1662171164,3Wo9pLiWmcc4vU7oGWjk17xphHw1coWXNqahSjAY5CAR,,,,13.98,https://arweave.net/Q4BYCcLRg-sBTks6rTXM4Gfz7kFY4AQdgfHEnr6244A
4R6BDas52LavWmXX5Vwyu9bJQdKbYmhNdYVuMCELg4kJ7MpGLWjhHg2VXC478x5kncYYkGFxF1eb3jJRD4WZC5g9,cancelBid,magiceden_v2,C1zJEjdzsMTCPXinVvP6ogESoHseJccQdpDGVYfF4MyF,monkey_kingdom,monkey_kingdom,148811142,1662129531,7rMfyCiXesvwW2nDTaE6ghwZDHZS2Nr42AMCjTjJ9gY9,,,,0,https://arweave.net/r6rwNeNBZ_SmNkq4_em2A04__Hd0b1inMc9SFh7ElVI
5DNcUUX4Y2iMQuBMmbBUvUxkKby8roJtnJKXjmhUhHXkXYiiV5d33eYLAc9PcvyBK6VHJuPzpmFk9E9JjPwiWBnR,buyNow,magiceden_v2,2zNdj5t37d453zi8vDvBcZWrrb3xH8knc8QyTWK8ZFRJ,monkey_kingdom,monkey_kingdom,148810430,1662129115,7MDHAZN4A1hnimeDLQW1jHTNQtBPZAoBU3DEziBjSGB6,,AGFCCsS3kecZbuuC8XKBxRhUonXDWD48Jv1utiHe45E3,,11,https://arweave.net/RXvcXfIAUylko38UpwCUMT-ZntVvhiIHutlojX7jUF8
